滑坡隐患点 48197
109.8606 24.6353 4502230003S
109.8378 24.5811 4502230004S
109.6989 24.6333 4502230005S
109.6972 24.6342 4502230006S
109.9292 24.5328 4502230007S
109.9144 24.5903 4502230008S
109.9131 24.5906 4502230009S
109.915 24.5892 4502230010S
109.9225 24.5867 4502230011S
109.8975 24.5947 4502230012S
109.8917 24.5958 4502230013S
109.9333 24.6139 4502230014S
109.9739 24.5394 4502230015S
109.9795 24.5364 4502230016S
110.0147 24.4542 4502230017S
110.0408 24.5244 4502230018S
109.9614 24.5069 4502230019S
109.9444 24.5158 4502230020S
107.3919 23.4536 4510220011S
107.3064 23.7981 4510220012S
105.7625 23.1022 4510260075S
105.7614 23.0925 4510260076S
105.8406 23.0378 4510260077S
105.8492 23.0478 4510260078S
105.8303 23.065 4510260079S
105.9347 23.0947 4510260080S
105.9375 23.0639 4510260081S
105.9453 23.0758 4510260082S
105.6597 23.1486 4510260083S
105.5928 23.1494 4510260084S
105.7342 23.2183 4510260085S
105.7289 23.3369 4510260086S
105.7581 23.3328 4510260087S
105.6331 23.2861 4510260088S
105.6967 23.2464 4510260089S
106.5636 24.7692 4510280035S
106.9417 24.7222 4510280036S
106.5444 24.0389 4510280037S
106.7222 25.0556 4510280038S
106.6444 24.6389 4510280039S
106.6475 24.6458 4510280040S
102.4272 31.1442 5132270011S
102.4375 31.2428 5132270015S
102.3989 31.345 5132270017S
102.4778 31.2839 5132270018S
102.0117 30.985 5132270019S
102.4944 31.0114 5132270028S
102.4789 31.0161 5132270029S
107.1783 24.9683 4512220039S
107.1789 24.9675 4512220040S
107.2275 24.9969 4512220041S
107.2853 24.9947 4512220042S
106.9217 24.5228 4512230014S
106.9058 24.5544 4512230015S
106.8847 24.4719 4512230016S
106.885 24.4708 4512230017S
107.2264 24.55 4512230018S
107.2617 24.5453 4512230019S
107.2458 24.5397 4512230020S
107.2183 24.5672 4512230021S
107.1878 24.6078 4512230022S
107.1789 24.6358 4512230023S
107.1742 24.6381 4512230024S
107.2497 24.5972 4512230025S
107.2453 24.6081 4512230026S
106.7739 32.2017 5119220040S
106.7711 32.1981 5119220041S
106.7722 32.1994 5119220042S
106.8045 32.2103 5119220044S
106.805 32.2106 5119220045S
106.7781 32.1919 5119220057S
106.9539 32.1394 5119220060S
106.9811 32.1542 5119220064S
106.7636 32.1419 5119220069S
104.2072 33.3036 5132250005S
104.1995 33.1492 5132250006S
106.7545 32.1717 5119220009S
106.7561 32.1819 5119220012S
106.8747 32.2833 5119220023S
106.8786 32.2983 5119220025S
106.7589 32.1942 5119220035S
106.7553 32.2006 5119220037S
106.7728 32.2236 5119220043S
106.8047 32.1922 5119220049S
106.805 32.1908 5119220050S
106.8545 32.205 5119220051S
106.7942 32.2006 5119220052S
107.7083 30.9356 5117240009S
103.7917 31.1244 5101820002S
103.7742 31.1344 5101820003S
103.775 31.1325 5101820004S
103.7672 31.1239 5101820005S
103.8006 31.1489 5101820006S
103.7969 31.1508 5101820007S
103.9258 31.2119 5101820008S
103.9014 31.2653 5101820009S
103.9039 31.2617 5101820010S
103.915 31.2592 5101820011S
103.9206 31.2564 5101820012S
103.9231 31.2525 5101820013S
109.6103 25.7883 4502260054S
109.6056 25.7806 4502260055S
109.6006 25.7439 4502260056S
109.6483 25.7769 4502260057S
110.2606 24.8533 4503220035S
110.0528 25.6403 4503220036S
110.0556 25.6353 4503220037S
110.0786 25.595 4503220038S
110.1431 25.4094 4503220039S
109.9506 24.4844 4502230021S
109.9028 24.4733 4502230022S
105.2231 32.3611 5108220045S
108.8131 25.155 4502250001S
109.195 25.3142 4502250002S
108.6297 25.4231 4502250003S
108.6311 25.4225 4502250004S
108.9481 25.3903 4502250005S
109.2542 25.3628 4502250006S
109.4411 25.4797 4502250007S
109.3767 25.5047 4502250008S
109.2383 25.5125 4502250009S
109.2383 25.5125 4502250009S
109.1342 25.6625 4502250010S
109.1231 25.5575 4502250011S
109.2494 25.0625 4502250012S
109.3389 25.5217 4502250016S
109.2019 25.2186 4502250017S
109.0814 25.5794 4502250019S
109.2031 25.2219 4502250020S
108.9025 25.3403 4502250024S
108.6486 25.4528 4502250026S
108.9353 25.3392 4502250028S
108.6547 25.3939 4502250031S
108.7961 25.4158 4502250032S
102.5072 31.0217 5132270030S
102.4253 31.5325 5132270035S
110.2453 22.8283 4509810058S
110.2456 22.795 4509810059S
110.2914 22.8328 4509810060S
110.4275 22.8161 4509810061S
110.4511 22.7053 4509810062S
110.4928 22.7122 4509810063S
110.4933 22.7136 4509810064S
110.4989 22.7169 4509810065S
110.4539 22.6847 4509810066S
110.4481 22.6969 4509810067S
110.4903 22.6539 4509810068S
110.4756 22.6542 4509810069S
110.4075 22.6489 4509810070S
110.3397 22.5403 4509810071S
110.3731 22.5111 4509810072S
111.8806 24.4903 4511020003S
111.6278 24.4436 4511020004S
111.9356 24.4306 4511020005S
111.5539 24.0128 4511020006S
111.8458 24.6 4511020007S
111.7983 24.4572 4511020008S
111.6708 23.8328 4511020009S
111.9289 24.7156 4511020010S
111.8433 23.9503 4511020011S
111.8217 23.9328 4511020012S
111.5953 23.9975 4511020013S
111.8942 23.9814 4511020014S
110.8408 26.2447 4503290113S
110.7269 26.1389 4503290114S
110.8239 26.2153 4503290115S
108.7953 23.0153 4501260031S
110.6067 25.1044 4503230059S
110.2672 25.5978 4503230060S
110.4061 25.4633 4503230061S
110.6592 25.2756 4503230062S
110.6497 25.2306 4503230063S
110.7364 25.1681 4503230064S
110.7378 25.1564 4503230065S
110.5981 25.1036 4503230058S
110.7514 25.1456 4503230066S
110.7536 25.1272 4503230067S
110.2031 25.5069 4503230068S
110.2303 25.5989 4503230069S
110.4994 25.3944 4503230070S
110.4217 25.5169 4503230071S
110.2356 25.5306 4503230072S
110.6447 25.2297 4503230073S
110.2097 25.6342 4503230074S
110.1311 25.6253 4503230075S
110.22 25.4603 4503230076S
110.4342 25.5111 4503230077S
110.3992 25.2997 4503230078S
110.6597 25.8211 4503240001S
110.8606 26.0469 4503240002S
111.2608 25.8558 4503240003S
110.79 25.1789 4503320030S
110.9322 24.6436 4503320031S
110.8167 25.8453 4503320032S
111.3161 23.4922 4504030001S
111.3045 23.4783 4504040001S
111.1997 23.4369 4504050001S
111.2678 23.4683 4504050002S
111.265 23.4706 4504050003S
111.2242 23.4542 4504050004S
108.7892 33.5747 6109230071S
108.7478 33.5456 6109230072S
108.7481 33.5458 6109230073S
108.7661 33.5936 6109230074S
108.1103 33.3764 6109230152S
108.1106 33.3767 6109230153S
108.1108 33.3769 6109230154S
108.4431 33.2317 6109230155S
108.5475 33.2597 6109230184S
108.5475 33.2597 6109230185S
108.5475 33.2597 6109230186S
108.5867 33.27 6109230187S
108.5867 33.27 6109230188S
108.5867 33.27 6109230189S
108.6061 33.3358 6109230190S
108.6061 33.3358 6109230191S
108.6061 33.3358 6109230192S
108.6061 33.3358 6109230193S
108.6061 33.3358 6109230194S
109.8908 33.6661 6110020114S
111.1333 23.4322 4504220048S
106.8481 29.5933 5001050008S
106.8525 29.6533 5001050009S
106.8547 29.6261 5001050010S
106.8444 29.6192 5001050011S
106.8772 29.6544 5001050012S
106.8269 29.5975 5001050013S
106.8147 29.6003 5001050014S
108.3111 33.3097 6109230007S
108.3114 33.31 6109230008S
108.3117 33.3103 6109230009S
108.2983 33.3033 6109230010S
108.3342 33.3 6109230011S
108.3345 33.3003 6109230012S
108.3347 33.3006 6109230013S
108.3928 33.3047 6109230014S
108.3931 33.305 6109230015S
108.3933 33.3053 6109230016S
108.3936 33.3056 6109230017S
108.3939 33.3058 6109230018S
108.4025 33.3008 6109230019S
108.4028 33.3011 6109230020S
108.4031 33.3014 6109230021S
108.3739 33.2981 6109230022S
108.3742 33.2983 6109230023S
108.5042 33.2147 6109230024S
108.5042 33.2147 6109230025S
108.2525 33.3147 6109230026S
110.7106 23.4358 4504220021S
110.7094 23.3875 4504220022S
111.3444 27.7778 4313220204S
111.027 27.9747 4313220217S
110.9225 27.7217 4313220228S
111.4567 27.6478 4313810004S
111.5494 27.6886 4313810043S
111.5895 27.6192 4313820014S
111.9317 27.9536 4313820019S
111.98 27.5964 4313820033S
111.6553 27.7708 4313820047S
111.6733 27.7922 4313820048S
110 28.5194 4331220012S
110.2731 29.0089 4331270013S
111.8822 23.805 4412250003S
111.8667 23.7042 4412250005S
111.4453 23.5417 4412250008S
111.5097 23.375 4412250016S
111.5069 23.4469 4412250017S
111.6839 23.1922 4412260002S
110.1969 34.2136 6110210006S
110.1472 34.3067 6110210010S
110.4086 34.3733 6110210016S
110.3539 34.1336 6110210018S
110.302 34.1917 6110210021S
110.0286 34.1289 6110210027S
110.4861 34.1764 6110210031S
110.1275 34.1536 6110210038S
110.1667 34.1167 6110210040S
110.1025 33.9894 6110210056S
110.3358 34.0369 6110210068S
110.3169 34.055 6110210069S
110.2675 33.9147 6110210078S
111.2364 26.8875 4503240004S
111.0878 26.0806 4503240005S
110.9789 25.8286 4503240006S
109.7392 22.5536 4507220098S
109.7481 22.5633 4507220099S
109.81 22.5478 4507220100S
109.7889 22.5539 4507220101S
109.8206 22.5675 4507220102S
109.7153 22.5275 4507220103S
109.71 22.5539 4507220104S
109.7117 22.5425 4507220105S
109.5956 22.5839 4507220106S
109.5553 22.4181 4507220107S
109.5567 22.2758 4507220108S
109.3231 22.2267 4507220109S
109.5453 23.2756 4508020001S
110.6653 23.1217 4508020002S
109.7269 23.2544 4508020003S
109.7056 23.2267 4508020004S
109.7253 23.1264 4508020004S
110.2675 23.6811 4508210001S
110.4236 23.3583 4508210002S
110.2675 23.6817 4508210003S
110.3781 23.0928 4508210004S
110.7722 22.8347 4509210017S
110.7608 22.8275 4509210018S
110.7617 22.8283 4509210019S
110.74 22.6358 4509210020S
110.7333 22.6256 4509210021S
110.875 23.2667 4504220049S
110.8694 23.2756 4504220050S
111.0461 23.1883 4504220051S
111.6467 23.1411 4504220052S
111.7517 23.4556 4504220053S
110.5292 23.9856 4504230001S
110.675 23.9856 4504230002S
110.7994 23.0136 4504810001S
111.1453 22.8228 4504810002S
109.5183 22.2183 4507220028S
109.5589 22.4817 4507220029S
109.5736 22.4719 4507220030S
109.5425 22.4025 4507220031S
109.5697 22.4153 4507220032S
109.6275 22.3911 4507220033S
109.5233 22.3986 4507220034S
109.512 22.3856 4507220035S
109.5222 22.3861 4507220036S
110.1836 23.7189 4508210005S
110.5328 23.2139 4508210006S
110.4714 23.1783 4508210007S
110.3289 23.1367 4508210008S
110.6172 23.2656 4508210009S
110.5531 23.3806 4508210010S
110.5778 23.5047 4508210011S
110.1992 23.1111 4508210012S
110.3781 23.0986 4508210013S
110.3864 23.2806 4508210014S
111.0831 23.5925 4504050005S
110.7506 23.4561 4504220023S
110.5978 23.4503 4504220024S
110.8458 23.4586 4504220025S
110.9239 23.3694 4504220026S
110.9039 23.3769 4504220027S
110.9047 23.3767 4504220028S
110.9028 23.3764 4504220029S
110.4981 23.8417 4504220030S
109.4664 22.0758 4507220001S
109.4581 22.0914 4507220002S
109.3769 22.0581 4507220003S
109.3603 21.9703 4507220004S
109.3608 21.9697 4507220005S
109.3339 21.9439 4507220006S
109.3097 22.1519 4507220007S
109.3525 22.2606 4507220008S
109.3733 22.2606 4507220009S
110.6578 22.3833 4509810027S
106.8078 29.5967 5001050015S
106.8317 29.5942 5001050016S
106.8244 29.6067 5001050017S
106.8172 29.6019 5001050018S
106.7958 29.6203 5001050019S
106.8006 29.6261 5001050020S
106.7131 29.6397 5001050021S
106.7322 29.6142 5001050022S
110.5081 33.9944 6110210085S
110.4942 33.9975 6110210086S
110.1492 34.1528 6110210005S
110.022 34.3675 6110210007S
110.2467 34.3436 6110210011S
110.1478 34.1242 6110210047S
110.3422 34.1169 6110210059S
110.3433 34.0775 6110210061S
110.2256 34.0556 6110210070S
110.4161 34.0614 6110210080S
110.545 26.6342 4305290025S
110.7789 26.7139 4305810028S
110.5928 26.8 4305810046S
110.6675 26.8167 4305810050S
112.8858 28.7272 4306240009S
113.9636 28.9278 4306261009S
113.5131 29.6175 4306820002S
111.4942 29.8797 4307230001S
111.3108 29.7861 4307230002S
111.2553 28.0819 4313220186S
111.245 28.1233 4313220225S
110.8633 27.7108 4313220231S
111.2567 27.5711 4313220240S
111.5461 27.9067 4313220242S
111.4014 27.7472 4313220257S
111.5375 27.6669 4313810034S
111.5375 27.7456 4313810038S
111.5278 27.6792 4313810050S
111.4345 27.6481 4313810091S
111.7447 27.7219 4313820009S
111.6222 27.595 4313820016S
111.6053 27.7022 4313820030S
110.9703 22.8294 4504810015S
111.1153 23.0442 4504810016S
111.0458 22.9239 4504810017S
111.0942 22.94 4504810018S
111.1367 22.8956 4504810019S
110.8003 22.8367 4504810020S
110.7969 22.8342 4504810021S
109.8883 33.7028 6110020115S
110.0653 33.76 6110020116S
110.1578 33.8542 6110020117S
110.1503 33.8183 6110020118S
110.1656 33.7844 6110020119S
110.1433 33.7775 6110020120S
110.0997 33.7389 6110020121S
109.7956 33.8917 6110020122S
109.8886 33.6889 6110020124S
109.9853 33.9856 6110020125S
109.785 33.1233 6110020126S
109.4917 22.4036 4507220037S
109.4914 22.4058 4507220038S
109.4808 22.3431 4507220039S
109.4808 22.3431 4507220040S
109.4814 22.3408 4507220041S
109.4678 22.3403 4507220042S
109.4672 22.3397 4507220043S
109.4656 22.3458 4507220044S
109.6081 22.6378 4507220045S
109.6119 22.64 4507220046S
109.6403 22.6567 4507220047S
111.4075 23.0561 4504210025S
111.3597 23.0561 4504210026S
111.2136 23.1353 4504210027S
111.312 23.0281 4504210028S
111.3097 23.1072 4504210029S
111.3056 23.0933 4504210030S
113.515 36.23 1404250005S
110.8331 22.8014 4504810028S
110.8156 22.7989 4504810029S
111.1658 22.9017 4504810030S
111.2108 22.8608 4504810031S
111.1058 23.0886 4504810032S
111.0672 23.1153 4504810033S
111.0689 23.1197 4504810034S
111.2086 22.9875 4504810035S
111.1833 22.8969 4504810036S
111.1906 22.8967 4504810037S
110.9986 22.9764 4504810038S
111.1139 22.7853 4504810039S
111.1967 22.8967 4504810040S
111.0761 22.7825 4504810041S
110.9097 22.9183 4504810042S
110.7967 22.8258 4504810043S
109.4436 21.7056 4505210001S
109.5644 21.8769 4505210002S
109.6375 22.5203 4507220055S
109.6478 22.5283 4507220056S
109.6842 22.5603 4507220057S
106.8206 29.6333 5001050023S
106.8144 29.6319 5001050024S
106.8192 29.6417 5001050025S
106.8239 29.6628 5001050026S
106.8392 29.6617 5001050027S
106.835 29.6578 5001050028S
106.6756 29.5728 5001050029S
106.7275 29.6044 5001050030S
110.5128 23.9406 4504220031S
110.5094 23.9431 4504220032S
110.5092 23.9439 4504220033S
110.5103 23.9444 4504220034S
110.5197 23.9378 4504220035S
110.4011 23.9069 4504220036S
110.4008 23.9089 4504220037S
110.3989 23.9075 4504220038S
110.5522 23.8875 4504220039S
110.4911 23.9772 4504220040S
110.4133 23.9344 4504220041S
110.6819 23.8733 4504220042S
110.6536 23.8042 4504220043S
110.7119 23.6403 4504220044S
110.6836 23.6892 4504220046S
110.7558 23.6264 4504220047S
108.2533 33.3256 6109230029S
108.2314 33.3089 6109230030S
111.1097 23.5681 4504050006S
111.0547 23.6042 4504050007S
111.1292 23.5436 4504050008S
111.1097 23.5494 4504050009S
111.1164 23.5994 4504050010S
111.1047 23.5878 4504050011S
111.2125 23.5806 4504050012S
111.3056 23.0942 4504210001S
111.465 23.7361 4504210002S
111.0403 23.7214 4504210003S
111.2597 23.4289 4504210004S
111.4142 23.8092 4504210005S
111.2253 23.8514 4504210006S
110.7022 22.6194 4509210033S
110.7092 22.6214 4509210034S
111.1789 22.8222 4504810003S
110.9369 22.7147 4504810004S
110.9172 22.7361 4504810005S
111.2108 22.8608 4504810006S
111.1058 23.0886 4504810007S
111.0672 23.1153 4504810008S
111.2086 22.9875 4504810009S
111.1833 22.8969 4504810010S
111.1906 22.8967 4504810011S
111.0203 22.9378 4504810012S
110.9789 22.8928 4504810013S
111.0197 22.8706 4504810014S
109.6517 22.6036 4507220048S
109.6475 22.5592 4507220049S
109.6567 22.5753 4507220050S
109.6394 22.5811 4507220051S
109.6631 22.5922 4507220052S
109.64 22.5542 4507220053S
109.6425 22.5506 4507220054S
112.2172 37.0333 1407280002S
110.3364 23.2444 4508210015S
109.7433 23.4511 4508810001S
110.2695 23.3219 4508810002S
110.1817 22.5769 4509020001S
110.0995 22.7531 4509020002S
110.1111 22.7764 4509020003S
110.1272 22.7983 4509020004S
110.0422 22.7036 4509020005S
110.1392 22.4275 4509020006S
110.1381 22.4256 4509020008S
109.9958 22.3778 4509020009S
110.0153 22.3878 4509020010S
109.9372 22.4103 4509020011S
109.9495 22.4028 4509020012S
110.145 22.3658 4509020013S
109.9789 22.4117 4509020014S
110.1042 22.3861 4509020015S
110.0781 22.3792 4509020016S
110.0189 22.3997 4509020017S
110.7269 22.7336 4509210055S
109.7031 22.575 4507220058S
109.7033 22.5711 4507220059S
109.5744 22.5369 4507220060S
109.5889 22.5256 4507220061S
109.6056 22.4956 4507220062S
110.0633 22.3967 4509020025S
110.1669 22.5936 4509020026S
110.1272 22.7983 4509020027S
110.1806 22.5767 4509020028S
110.7253 23.0275 4509210001S
110.5217 22.9331 4509210002S
110.6122 22.8475 4509210003S
110.4164 22.9811 4509210004S
110.7686 22.8175 4509210005S
110.7778 22.8144 4509210006S
110.7822 22.8247 4509210007S
110.7833 22.8219 4509210008S
110.7839 22.8442 4509210009S
110.7819 22.8414 4509210010S
110.7139 22.8286 4509210011S
110.7392 22.7953 4509210012S
110.7392 22.7058 4509210013S
110.7386 22.8094 4509210014S
110.72 22.7231 4509210015S
110.7772 22.8425 4509210016S
110.3556 23.0333 4509210084S
110.3556 23.0317 4509210085S
110.3489 23.0353 4509210086S
110.3858 23.0411 4509210087S
108.2317 33.3092 6109230031S
108.2239 33.3122 6109230032S
108.2394 33.3275 6109230033S
108.2453 33.3219 6109230034S
108.2583 33.3275 6109230035S
108.2586 33.3278 6109230036S
108.2394 33.3272 6109230037S
108.2528 33.315 6109230027S
108.2531 33.3153 6109230028S
108.2397 33.3275 6109230038S
109.3881 22.2503 4507220010S
109.3914 22.2281 4507220011S
109.3931 22.225 4507220012S
109.3839 22.24 4507220013S
109.4403 22.3456 4507220014S
109.415 22.2814 4507220015S
109.4208 22.2894 4507220016S
109.4069 22.3139 4507220017S
109.4708 22.2375 4507220018S
109.4694 22.2203 4507220019S
109.4789 22.2197 4507220020S
109.4345 22.0903 4507220021S
109.5944 22.3231 4507220022S
109.6369 22.3517 4507220023S
109.4978 22.3044 4507220024S
109.4731 22.2803 4507220025S
109.4683 22.2828 4507220026S
109.535 22.2106 4507220027S
110.0589 24.8025 4503260006S
110.1144 24.8319 4503260007S
110.1178 24.8308 4503260008S
110.1039 24.8414 4503260009S
110.1303 24.86 4503260010S
110.152 24.9294 4503260011S
110.1486 24.9553 4503260012S
110.1425 24.9156 4503260013S
109.8306 25.3172 4503260014S
109.8345 25.3356 4503260015S
109.8064 25.3469 4503260016S
109.9086 25.1503 4503260017S
109.8903 25.1572 4503260018S
109.8603 25.3669 4503260019S
109.8269 25.2492 4503260020S
109.7983 25.2636 4503260021S
109.8697 25.1833 4503260022S
109.8422 25.1914 4503260023S
109.8425 25.1889 4503260024S
109.9342 25.0947 4503260025S
109.9247 25.1056 4503260026S
109.9203 25.1117 4503260027S
109.9194 25.1097 4503260028S
109.8072 25.1911 4503260029S
109.8114 25.1803 4503260030S
110.4228 25.9558 4503290081S
110.6845 22.7817 4509210056S
110.7319 22.8306 4509210057S
110.7439 22.7575 4509210058S
110.7289 22.7922 4509210059S
110.7239 22.77 4509210060S
110.6722 23.0719 4509210061S
110.6347 23.0344 4509210062S
110.6139 23.0792 4509210063S
110.5928 22.9583 4509210064S
110.6506 22.5431 4509210035S
110.6539 22.5664 4509210036S
110.7267 22.505 4509210037S
110.7206 22.4994 4509210038S
110.7358 22.5558 4509210039S
110.7517 22.5931 4509210040S
110.7233 22.6039 4509210041S
110.7228 22.6028 4509210042S
110.7222 22.6033 4509210043S
110.6644 22.5361 4509210044S
110.6225 22.5922 4509210045S
110.6322 22.595 4509210046S
110.5703 22.6658 4509210047S
110.5683 22.6639 4509210048S
110.5786 22.7139 4509210049S
110.5839 22.7117 4509210050S
110.605 22.7261 4509210051S
110.7214 22.6375 4509210052S
106.7528 32.1744 5119220005S
110.2886 22.1211 4509220046S
110.2583 22.1522 4509220047S
110.3797 23.0317 4509210088S
110.5494 22.7594 4509210089S
110.5483 22.7617 4509210090S
110.6075 22.7761 4509210091S
110.5589 22.7128 4509210092S
110.5103 22.7283 4509210093S
110.3736 22.1714 4509220067S
110.3814 22.185 4509220068S
110.3864 22.1936 4509220069S
110.3947 22.2053 4509220070S
110.3956 22.2042 4509220071S
110.2903 22.1403 4509220072S
110.2853 22.1403 4509220073S
110.2675 22.14 4509220074S
110.2669 22.1536 4509220075S
110.0869 22.1636 4509230079S
110.0995 22.1778 4509230080S
110.1794 22.1786 4509230081S
110.0647 22.1403 4509230082S
110.0719 22.1383 4509230083S
109.7094 22.1508 4509230084S
109.7317 22.0111 4509230085S
109.6747 22.115 4509230086S
109.7547 22.1306 4509230087S
109.6239 21.99 4509230088S
109.8625 21.8044 4509230089S
109.7569 21.8597 4509230090S
109.5869 22.5056 4507220063S
109.8106 22.3958 4507220091S
109.8072 22.3647 4507220092S
109.7567 22.3756 4507220093S
109.7464 22.3647 4507220094S
109.7686 22.3933 4507220095S
109.7653 22.4031 4507220096S
109.7764 22.5372 4507220097S
109.5339 31.9778 6109270197S
109.525 32.1261 6109270246S
109.4633 31.8975 6109270001S
109.4536 31.8489 6109270038S
109.4636 31.8308 6109270061S
109.5475 31.9581 6109270176S
109.4825 32.1311 6109270223S
119.2431 34.6656 3207050028S
119.2419 34.6444 3207050029S
119.1686 34.5656 3207060001S
119.1658 35.0475 3207210001S
118.8497 34.8508 3207210002S
118.6764 34.6086 3207220001S
119.2453 34.3086 3207230001S
119.2392 34.2497 3207230002S
119.2242 34.3214 3207230003S
118.4008 32.9544 3208300001S
118.4339 32.7528 3208300002S
118.3856 32.9275 3208300003S
118.31 32.8072 3208300004S
118.4747 32.7408 3208300005S
119.0733 32.2556 3210810001S
110.4083 25.9508 4503290082S
110.3703 25.8794 4503290083S
110.6344 25.9933 4503290084S
110.6464 25.9439 4503290085S
110.6433 25.9089 4503290086S
110.425 25.5131 4503230026S
110.3497 25.5144 4503230027S
110.4997 25.3939 4503230028S
110.3906 25.2983 4503230029S
110.3953 25.2978 4503230030S
110.3947 25.295 4503230031S
110.6319 25.3158 4503230032S
110.645 25.3106 4503230033S
110.5508 25.3064 4503230034S
110.5289 25.2761 4503230035S
110.5297 25.2675 4503230036S
110.5881 25.2372 4503230037S
110.5525 25.2344 4503230038S
110.4839 25.1922 4503230039S
110.5381 25.0814 4503230040S
110.5383 25.0628 4503230041S
110.7125 25.2378 4503230042S
110.6358 25.2269 4503230043S
110.6108 25.2236 4503230044S
110.6447 25.2208 4503230045S
110.6431 25.2206 4503230046S
110.6536 25.2181 4503230047S
110.6258 25.2008 4503230048S
110.5767 25.1761 4503230049S
110.6383 25.1569 4503230050S
110.5778 25.1522 4503230051S
110.262 22.1372 4509220048S
110.2364 22.1306 4509220049S
110.1922 22.1747 4509220050S
110.1045 22.1536 4509220051S
110.3075 22.1564 4509220052S
110.275 22.1681 4509220053S
109.6386 33.8619 6110020128S
109.8964 33.6983 6110020129S
110.1283 33.9289 6110020130S
110.0375 33.7406 6110020131S
109.9642 33.8047 6110020132S
110.09 33.7792 6110020133S
110.1278 33.9214 6110020134S
110.0378 33.7444 6110020135S
109.8403 33.7747 6110020136S
110.0758 33.93 6110020137S
109.7225 33.9253 6110020138S
109.5572 33.8478 6110020139S
109.7192 33.8567 6110020140S
109.7695 33.9181 6110020141S
109.6742 22.3342 4509230049S
109.6881 22.3428 4509230050S
109.6539 22.1978 4509230051S
109.6739 22.3244 4509230047S
109.6742 22.3253 4509230048S
109.6625 22.1914 4509230052S
109.6339 22.2233 4509230053S
109.6189 22.22 4509230054S
109.6481 22.2619 4509230055S
109.6153 22.5125 4507220064S
109.6689 22.5342 4507220065S
109.6939 22.5239 4507220066S
109.6875 22.5331 4507220067S
109.5692 22.6125 4507220068S
109.5753 22.6203 4507220069S
109.5636 22.5881 4507220070S
109.6622 22.3736 4507220071S
109.6664 22.39 4507220072S
109.6611 22.4153 4507220073S
109.6717 22.425 4507220074S
109.6983 22.4186 4507220075S
109.695 22.41 4507220076S
109.6253 22.4678 4507220077S
109.7406 22.4783 4507220078S
109.7336 22.4736 4507220079S
109.7225 22.475 4507220080S
109.6658 22.4642 4507220081S
110.6247 23.0242 4509210094S
110.6511 22.8775 4509210095S
110.5581 22.6536 4509210096S
110.6383 22.7644 4509210097S
110.5875 22.7147 4509210098S
110.7606 22.8278 4509210099S
110.7536 22.8339 4509210100S
110.7244 23.0283 4509210101S
110.4158 22.9806 4509210102S
110.7381 22.8514 4509210103S
119.0608 32.2581 3210810002S
119.0736 32.2553 3210810003S
119.4536 32.2147 3211020001S
119.4644 32.2144 3211020002S
119.4803 32.2017 3211020003S
119.4522 32.22 3211020004S
119.7189 32.2261 3211020005S
119.4956 32.1956 3211020007S
119.4642 32.2142 3211020008S
111.2 21.8397 4409230002S
111.37 21.8097 4409230007S
113.0364 24.5136 4402320011S
113.3286 25.3767 4402810003S
113.3114 25.3514 4402810005S
113.265 25.3358 4402810006S
113.2606 25.4003 4402810011S
113.2675 25.3553 4402810015S
114.5006 25.3325 4402820003S
114.2089 25.2369 4402820011S
112.8622 23.0275 4406070908S
112.8383 23.0803 4406070911S
113.0264 22.7897 4407840001S
112.7767 22.7969 4407840006S
112.2192 22.2733 4407850004S
112.1989 22.3403 4407850010S
111.0953 35.8778 1410290001S
110.8922 35.9586 1410290002S
110.6978 35.7703 1410290003S
110.6308 35.805 1410290004S
110.6811 35.7831 1410290005S
110.8672 35.9786 1410290006S
110.9575 36.0094 1410290007S
110.7556 25.1525 4503230052S
110.71 25.1358 4503230053S
110.7464 25.1303 4503230054S
110.7569 25.1292 4503230055S
110.5875 25.1167 4503230056S
109.8506 25.9247 4503280031S
109.845 25.9178 4503280032S
109.8483 26.0839 4503280033S
109.8511 25.9206 4503280034S
109.8319 25.8978 4503280035S
110.1811 26.0433 4503280036S
110.1814 26.0403 4503280037S
110.1325 25.9894 4503280038S
110.1347 26.0003 4503280039S
110.1358 26.0028 4503280040S
110.1281 25.995 4503280041S
110.1058 25.9536 4503280042S
110.1 25.9444 4503280043S
110.0878 25.9425 4503280044S
110.1039 25.9422 4503280045S
110.2036 25.8992 4503280046S
110.2169 25.9169 4503280047S
110.1797 25.8836 4503280048S
110.1667 25.87 4503280049S
110.0353 25.8453 4503280050S
110.0667 25.8464 4503280051S
110.0731 25.8464 4503280052S
110.0989 25.8481 4503280053S
110.1081 25.8375 4503280054S
109.8589 25.89 4503280055S
109.6639 22.2383 4509230056S
109.6686 22.2361 4509230057S
109.5956 22.2119 4509230058S
109.975 34.0339 6110020127S
112.2172 37.0178 1407280001S
109.7767 22.8158 4509240054S
110.0736 22.9469 4509240055S
109.7795 22.7992 4509240056S
109.9711 22.8414 4509240057S
110.3969 22.6711 4509810001S
110.4056 22.7061 4509810002S
110.4081 22.6708 4509810003S
110.4058 22.6719 4509810004S
110.3795 22.6533 4509810005S
110.5375 23.0811 4509210065S
110.5536 23.0961 4509210066S
110.55 23.0969 4509210067S
110.5536 23.0983 4509210068S
110.525 22.9542 4509210069S
110.4925 23.0094 4509210070S
110.4969 23.0067 4509210071S
110.4756 22.9069 4509210072S
110.4875 22.9625 4509210073S
110.4861 22.9728 4509210074S
110.5081 23.0661 4509210075S
